nombre,pais,api_id,api_source
John Quincy Adams Ward,,John Quincy Adams Ward,wikipedia
White Wolf Publishing,CCP by,White Wolf Publishing,wikipedia
Random House,,Random House,wikipedia
PPP-adjusted GDP,the market,Purchasing power parity,wikipedia
Ridley Scott,,Ridley Scott,wikipedia
Patricia Schultz,,Patricia Schultz,wikipedia
Jim Barton,the British,James Barton,wikipedia
Virgin Records,,Virgin Records,wikipedia
Patrick Smith Kelly. It,,A Perfect Murder,wikipedia
Sophie Hannah,British,Sophie Hannah,wikipedia
David Baldacci. The,American,David Baldacci,wikipedia
Sam Raimi. It,,Sam Raimi,wikipedia
Wesley Strick,,Wesley Strick,wikipedia
Quentin Tarantino,Dusk till,Quentin Tarantino,wikipedia
Steven Moffat,Paisley,Steven Moffat,wikipedia
Loma Vista Recordings,,Loma Vista Recordings,wikipedia
Frank Vosper,,Frank Vosper,wikipedia
The Simpsons,,The Simpsons,wikipedia
Chris Eyre,,Chris Eyre,wikipedia
Spears. Released,her hiatus,Jamie Lynn Spears,wikipedia
Adam Woodyatt,,Adam Woodyatt,wikipedia
Salman Khan Films,,Salman Khan,wikipedia
James Lapine,,James Lapine,wikipedia
J. K. Rowling,British,J. K. Rowling,wikipedia
Michael Czerny,,Michael Czerny,wikipedia
Ken Kesey,La Junta,Ken Kesey,wikipedia
Pulitzer Prize,the Pulitzer,Pulitzer Prize,wikipedia
Alexander McCall Smith,his great,Alexander McCall Smith,wikipedia
Riri Sagara,January,Are You Lost?,wikipedia
Robert Rodriguez,Dusk till,Robert Rodriguez,wikipedia
Marcia Clark,,Marcia Clark,wikipedia
James Patterson,American,James Patterson,wikipedia
Charles Dickens,Portsmouth,Charles Dickens,wikipedia
Avro Canada,,Avro Canada,wikipedia
Josh Burnell. The,,House by the Lake,wikipedia
Philip Yordan,,Philip Yordan,wikipedia
Kaz Ayabe,,Kaz Ayabe,wikipedia
Joseph Kahn,,Joseph Kahn (director),wikipedia
Michelle Gable. Set,,A Paris Apartment,wikipedia
Ayano Takeda,June,Flower and Asura,wikipedia
Philippa Gregory,the Romantic,Philippa Gregory,wikipedia
Richard Heermance,,Richard Heermance,wikipedia
Johannes Vermeer,subsequent surveys,Johannes Vermeer,wikipedia
Rick Berman,,Rick Berman,wikipedia
Anita Diamant,,Anita Diamant,wikipedia
Australian Independent Booksellers,,Indie Book Awards (Australia),wikipedia
Kevin Hood,critics,Robin Hood: Prince of Thieves,wikipedia
Kelly Marcel,,Kelly Marcel,wikipedia
Hamilton Leithauser,,Hamilton Leithauser,wikipedia
Rui Tsukiyo,Japanese,Rui Tsukiyo,wikipedia
Leslie Lamport,,Leslie Lamport,wikipedia
Jeffrey Lieber,,Jeffrey Lieber,wikipedia
Rolling Stone,BandLab Technologies,Rolling Stone,wikipedia
Fourth Estate,the traditional,Fourth estate,wikipedia
Yuki Kajiura,,Yuki Kajiura,wikipedia
Savage Steve Holland,,Savage Steve Holland,wikipedia
Dr. Kabapu,October,Excel Saga,wikipedia
Image Comics,the studios,Image Comics,wikipedia
DC Comics,,DC Comics,wikipedia
The Lucky Ones,,We Were the Lucky Ones,wikipedia
Marvel Studios,Iron Man,Marvel Studios,wikipedia
Columbia Records,,Columbia Records,wikipedia
Shannon Watters,,Shannon Watts,wikipedia
Becky Cloonan,,Becky Cloonan,wikipedia
Kengo Hanazawa,,Kengo Hanazawa,wikipedia
Marvel Comics,other companies,Marvel Comics,wikipedia
Takekuni Kitayama,September,Danganronpa Kirigiri,wikipedia
Warren Ellis,,Warren Ellis,wikipedia
Will Duffy,Hayward,Sean Duffy,wikipedia
Alan Moore,English,Alan Moore,wikipedia
Rural Home Publications,,Green Turtle (comics),wikipedia
Bill Willingham,American,Bill Willingham,wikipedia
Jeph Loeb,its premiere,Jeph Loeb,wikipedia
Jay Oliva,,Jay Oliva,wikipedia
Geoff Johns,his executive,Geoff Johns,wikipedia
Joe DiPietro,,Joe DiPietro,wikipedia
Kirk Alyn,the Blackhawk,Kirk Alyn,wikipedia
Viz Media,,Viz Media,wikipedia
Jim Starlin,,Jim Starlin,wikipedia
Masashi Koizuka,,The One Piece,wikipedia
Steve Kirk,,Steve Kirk,wikipedia
Cece Bell,American,Cece Bell,wikipedia
Brian Azzarello,,Brian Azzarello,wikipedia
Natsuki Takaya,,Natsuki Takaya,wikipedia
Justin Herman.,,M. Justin Herman,wikipedia
Tsugumi Ohba,November,Tsugumi Ohba,wikipedia
Sylvester Stallone. Later,Over,Frank Stallone,wikipedia
Masashi Kishimoto,May,Masashi Kishimoto,wikipedia
Mike Carey,British,Mike Carey (writer),wikipedia
Walt Disney Pictures,the feature,Walt Disney Pictures,wikipedia
Marjane Satrapi,,Marjane Satrapi,wikipedia
Capitol Records,,Capitol Records,wikipedia
Yana Toboso,Warabi,Yana Toboso,wikipedia
Christopher Marlowe,the highest,Christopher Marlowe,wikipedia
Brian K. Vaughan,American,Brian K. Vaughan,wikipedia
Bisco Hatori,,Bisco Hatori,wikipedia
James Gunn,,James Gunn,wikipedia
Tite Kubo,,Tite Kubo,wikipedia
Gamon Sakurai,July,Ajin: Demi-Human,wikipedia
M. L. Kirk,,Maria Louise Kirk,wikipedia
Kurt Wolff,,Kurt Wolff,wikipedia
John Bunyan,the village,John Bunyan,wikipedia
Sir Arthur Conan Doyle,Edinburgh,Arthur Conan Doyle,wikipedia
Andrew Solt,the archive,Andrew Solt,wikipedia
Margaret Mitchell,,Margaret Mitchell,wikipedia
