id_libro,titulo_libro,precio_libro,calificacion_libro,categoria,autores
1,It's Only the Himalayas,45.17,2,Travel,Autor Desconocido
2,Full Moon over Noah’s Ark: An Odyssey to Mount Ararat and Beyond,49.43,4,Travel,Autor Desconocido
3,See America: A Celebration of Our National Parks & Treasured Sites,48.87,3,Travel,John Quincy Adams Ward
4,Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,36.94,2,Travel,White Wolf Publishing
5,Under the Tuscan Sun,37.33,3,Travel,Random House
6,A Summer In Europe,44.34,2,Travel,PPP-adjusted GDP
7,The Great Railway Bazaar,30.54,1,Travel,Autor Desconocido
8,A Year in Provence (Provence #1),56.88,4,Travel,Ridley Scott
9,The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),23.21,1,Travel,Autor Desconocido
10,Neither Here nor There: Travels in Europe,38.95,3,Travel,Autor Desconocido
11,"1,000 Places to See Before You Die",26.08,5,Travel,Patricia Schultz
12,Sharp Objects,47.82,4,Mystery,Autor Desconocido
13,"In a Dark, Dark Wood",19.63,1,Mystery,Jim Barton
14,The Past Never Ends,56.5,4,Mystery,Virgin Records
15,A Murder in Time,16.64,1,Mystery,Patrick Smith Kelly. It
16,The Murder of Roger Ackroyd (Hercule Poirot #4),44.1,4,Mystery,Sophie Hannah
17,The Last Mile (Amos Decker #2),54.21,2,Mystery,David Baldacci. The
18,That Darkness (Gardiner and Renner #1),13.92,1,Mystery,Sam Raimi. It
19,Tastes Like Fear (DI Marnie Rome #3),10.69,1,Mystery,Wesley Strick
20,A Time of Torment (Charlie Parker #14),48.35,5,Mystery,Quentin Tarantino
21,A Study in Scarlet (Sherlock Holmes #1),16.73,2,Mystery,Steven Moffat
22,Poisonous (Max Revere Novels #3),26.8,3,Mystery,Loma Vista Recordings
23,Murder at the 42nd Street Library (Raymond Ambler #1),54.36,4,Mystery,Frank Vosper
24,Most Wanted,35.28,3,Mystery,The Simpsons
25,Hide Away (Eve Duncan #20),11.84,1,Mystery,Chris Eyre
26,Boar Island (Anna Pigeon #19),59.48,3,Mystery,Autor Desconocido
27,The Widow,27.26,2,Mystery,Autor Desconocido
28,Playing with Fire,13.71,3,Mystery,Spears. Released
29,What Happened on Beale Street (Secrets of the South Mysteries #2),25.37,5,Mystery,Adam Woodyatt
30,The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),52.3,5,Mystery,Autor Desconocido
31,Delivering the Truth (Quaker Midwife Mystery #1),20.89,4,Mystery,Salman Khan Films
32,The Mysterious Affair at Styles (Hercule Poirot #1),24.8,4,Mystery,Sophie Hannah
33,In the Woods (Dublin Murder Squad #1),38.38,2,Mystery,James Lapine
34,The Silkworm (Cormoran Strike #2),23.05,5,Mystery,J. K. Rowling
35,The Exiled,43.45,3,Mystery,Michael Czerny
36,The Cuckoo's Calling (Cormoran Strike #1),19.21,1,Mystery,Ken Kesey
